TTDTargetID	Target_Name	Indication	症状	ICD9	ICD10
T15569	Methylmalonyl-CoA mutase	Lung injury	肺损伤		S00-T98
T15569	Methylmalonyl-CoA mutase	Vitamin B12 deficiency	维生素B12缺乏症	266.2	E53.8
T15610	Puromycin-sensitive aminopeptidase	Acute myeloid leukemia	急性粒细胞白血病	205	C92.0
T15639	Zinc-finger proteins (ZFP)	Acne vulgaris	寻常痤疮	706.1	L70.0
T15700	Caspase-8	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T15739	Cellular tumor antigenp53	Acute myeloid leukemia	急性粒细胞白血病	205	C92.0
T15739	Cellular tumor antigenp53	Cancer	癌症	140-229	C00-C96
T15739	Cellular tumor antigenp53	Colorectal cancer	大肠癌	"153, 154"	C18-C21
T15739	Cellular tumor antigenp53	Head and neck cancer	头颈癌	"140-149, 140-229"	"C07-C14, C32-C33"
T15739	Cellular tumor antigenp53	Hematological malignancies	血液恶性肿瘤	200-209	C81-C86
T15739	Cellular tumor antigenp53	Late-stage solid tumors	晚期实体瘤	"140-199, 210-229"	"C00-C75, C7A, C7B, D10-D36, D3A"
T15739	Cellular tumor antigenp53	Oral cavity cancer	口腔癌		C00-C08
T15739	Cellular tumor antigenp53	Renal artery disease	肾动脉疾病		I70.1
T15739	Cellular tumor antigenp53	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T15739	Cellular tumor antigenp53	Toxicity	毒性		"T36-T50, T51-T65"
T15739	Cellular tumor antigenp53	Unspecified	未指定		
T15783	NKG2A	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T15784	Lipid peroxidation in the substantia nigra and striatum	Mild to moderate alzheimer disease	轻度至中度老年痴呆症	331	G30
T15803	mRNA of Factor XI	Alzheimer disease	老年痴呆症	331	G30
T15803	mRNA of Factor XI	Clotting disorders	凝血障碍	286	D65-D69
T15803	mRNA of Factor XI	Thrombosis	血栓形成	"437.6, 453, 671.5, 671.9"	I80-I82
T16016	C-C chemokine receptor type 1	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T16016	C-C chemokine receptor type 1	Chronic obstructive pulmonary disease	慢性阻塞性肺疾病	"490-492, 494-496"	"J40-J44, J47"
T16016	C-C chemokine receptor type 1	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T16038	Hepatitis C virus non-structural protein 5A	HCV infection	HCV感染	"070.4, 070.5, 070.70"	"B17.1, B18.2"
T16047	Glutamate-gated chloride channel	Intestinal strongyloidiasis due to nematode parasite	线虫寄生虫引起的肠道强线虫病	127.2	B78
T16117	"Nitric-oxide synthase, brain"	Headache	头痛	"339, 784.0"	"G43-G44, R51"
T16128	Gastrin	Gastric cancer	胃癌	151	C16
T16144	B7RP1	Systemic lupus erythematosus	系统性红斑狼疮	710	M32
T16156	Thrombopoietin Receptor	Acute myeloid leukemia	急性粒细胞白血病	205	C92.0
T16156	Thrombopoietin Receptor	Bone marrow transplantation	骨髓移植	"279.5, 996"	"D89.8, T86"
T16156	Thrombopoietin Receptor	Chemotherapy-induced thrombocytopenia; Myelodysplastic syndromes	化学疗法诱发的血小板减少症；骨髓增生异常综合症	"238.7, 287.3, 287.4, 287.5"	"D46, D69.6, P61.0"
T16156	Thrombopoietin Receptor	Chronic liver disease; HCV induced thrombocytopaenia	慢性肝病； HCV诱导的血小板减少症	"287.3, 287.4, 287.5"	"D69.6, P61.0"
T16156	Thrombopoietin Receptor	Idiopathic thrombocytopenic purpura	特发性血小板减少性紫癜	287.31	D69.3
T16156	Thrombopoietin Receptor	Immune thrombocytopenic purpura; Idiopathic thrombocytopenic purpura	免疫性血小板减少性紫癜；特发性血小板减少性紫癜	287.31	D69.3
T16156	Thrombopoietin Receptor	Liver disease	肝病	570-574	K70-K77
T16156	Thrombopoietin Receptor	Myocardial infarction; Thrombotic stroke	心肌梗塞；血栓性中风	"410, 434.91"	"I21, I22, I61-I63"
T16156	Thrombopoietin Receptor	Oncology-related thrombocytopaenia	肿瘤相关血小板减少症	"287.3, 287.4, 287.5"	"D69.6, P61.0"
T16156	Thrombopoietin Receptor	Sarcoma; Idiopathic thrombocytopenic purpura	肉瘤;特发性血小板减少性紫癜	287.31	D69.3
T16156	Thrombopoietin Receptor	Thrombocytopenia	血小板减少症	"287.3, 287.4, 287.5"	"D69.6, P61.0"
T16156	Thrombopoietin Receptor	Thrombocytopenic purpura	血小板减少性紫癜		D69
T16156	Thrombopoietin Receptor	Unspecified	未指定		
T16263	RANTES ligand	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T16340	Interleukin-1 alpha ligand	Atherosclerosis	动脉粥样硬化	"414.0, 440"	I70
T16340	Interleukin-1 alpha ligand	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T16340	Interleukin-1 alpha ligand	Unspecified	未指定		
T16347	Protein tyrosine phosphatase-1B	Diabetes	糖尿病	"253.5, 588.1"	"E23.2, N25.1"
T16347	Protein tyrosine phosphatase-1B	Obesity	肥胖	278	E66
T16347	Protein tyrosine phosphatase-1B	Type 2 diabetes	2型糖尿病	250	E11
T16353	Gap junction alpha-8 protein	Cancer	癌症	140-229	C00-C96
T16422	Multidrug resistance protein	Acute myeloid leukemia	急性粒细胞白血病	205	C92.0
T16422	Multidrug resistance protein	Cancer	癌症	140-229	C00-C96
T16422	Multidrug resistance protein	Nausea; Vomiting; Emesis	恶心;呕吐呕吐	"787, 787.0"	R11
T16514	Fatty acid synthase	Advanced solid tumor	晚期实体瘤	140-199	"C00-C75, C7A, C7B"
T16514	Fatty acid synthase	Cancer	癌症	140-229	C00-C96
T16514	Fatty acid synthase	Dramatic weight loss	减肥效果显着	783.21	R63.4
T16514	Fatty acid synthase	Fungal infections	真菌感染	110-118	B35-B49
T16514	Fatty acid synthase	Gram-positive bacterial infection	革兰氏阳性细菌感染	"001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104"	
T16514	Fatty acid synthase	Mycobacterium tuberculosis infection	结核分枝杆菌感染		A15-A19
T16601	Carcinoembryonic antigen-related cell adhesion molecule 5	Breast cancer	乳腺癌	"174, 175"	C50
T16601	Carcinoembryonic antigen-related cell adhesion molecule 5	Cancer	癌症	140-229	C00-C96
T16601	Carcinoembryonic antigen-related cell adhesion molecule 5	Colorectal cancer	大肠癌	"153, 154"	C18-C21
T16601	Carcinoembryonic antigen-related cell adhesion molecule 5	Glioblastoma multiforme	胶质母细胞瘤	191	C71
T16601	Carcinoembryonic antigen-related cell adhesion molecule 5	Metastatic medullary thyroid cancer	转移性甲状腺髓样癌	193	C73
T16601	Carcinoembryonic antigen-related cell adhesion molecule 5	Pancreatic cancer	胰腺癌	"140-199, 140-229, 157, 210-229"	C25
T16601	Carcinoembryonic antigen-related cell adhesion molecule 5	Small-cell lung cancer	小细胞肺癌	162.9	C33-C34
T16601	Carcinoembryonic antigen-related cell adhesion molecule 5	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T16605	mRNA of marburg virusnucleoprotein NP	Marburg virus infection	马尔堡病毒感染		A98.3
T16633	Somatostatin receptor 1	Alzheimer disease	老年痴呆症	331	G30
T16633	Somatostatin receptor 1	Cushing's disease	库欣病	255	E24.0
T16633	Somatostatin receptor 1	Neuroendocrine cancer	神经内分泌癌		C7A
T16688	Diglyceride acyltransferase	Diabetes	糖尿病	"253.5, 588.1"	"E23.2, N25.1"
T16688	Diglyceride acyltransferase	Familial chylomicronemia syndrome; HCV infection	家族性乳糜微粒血症综合征； HCV感染	"070.4, 070.5, 070.70"	"J10, J11, B17.1, B18.2"
T16688	Diglyceride acyltransferase	High cholesterol level	高胆固醇	272	E78.0
T16688	Diglyceride acyltransferase	Obesity	肥胖	278	E66
T16688	Diglyceride acyltransferase	Obesity; Diabetes	肥胖;糖尿病	"250, 278"	"E08-E13, E66"
T16688	Diglyceride acyltransferase	Type 2 diabetes	2型糖尿病	250	E11
T16691	5-hydroxytryptamine 6 receptor	Alzheimer disease	老年痴呆症	331	G30
T16691	5-hydroxytryptamine 6 receptor	Alzheimer disease; Anxiety disorder	阿尔茨海默氏病；焦虑症	"331, 300, 311"	"G30, F32, F40-F42"
T16691	5-hydroxytryptamine 6 receptor	Alzheimer disease; Dementia	阿尔茨海默氏病；痴呆	"290-294, 331.0"	"F01-F07, G30"
T16691	5-hydroxytryptamine 6 receptor	Anxiety disorder	焦虑症	"300, 311"	"F32, F40-F42"
T16691	5-hydroxytryptamine 6 receptor	Cognitive disorders	认知障碍	"290-294, 294.0, 780.09, 780.9, 780.93"	"F01-F07, F04, F05, R41.3"
T16691	5-hydroxytryptamine 6 receptor	Emesis	呕吐	787	R11
T16691	5-hydroxytryptamine 6 receptor	Neurodegenerative disease	神经退行性疾病	330-337	G30-G32
T16691	5-hydroxytryptamine 6 receptor	Neurological disease	神经系统疾病	"338, 338.2, 410, 782.3,780"	"I21, I22, R52, R52.1-R52.2, R60.9, G89"
T16691	5-hydroxytryptamine 6 receptor	Obesity	肥胖	278	E66
T16691	5-hydroxytryptamine 6 receptor	Schizophrenia	精神分裂症	295	F20
T16691	5-hydroxytryptamine 6 receptor	Unspecified	未指定		
T16731	Vacuolar ATP synthase catalytic subunit A	Fungal infections	真菌感染	110-118	B35-B49
T16739	Lysine specific histone demethylase 1	Cancer	癌症	140-229	C00-C96
T16739	Lysine specific histone demethylase 1	Small-cell lung cancer	小细胞肺癌	162.9	C33-C34
T16761	Pneumocystis carinii dihydropteroate synthase	Pneumocystis carinii pneumonia	卡氏肺孢子虫肺炎	136.3	B20.6
T16769	X-linked inhibitor of apoptosis protein	Hematological malignancies	血液恶性肿瘤	200-209	C81-C86
T16769	X-linked inhibitor of apoptosis protein	Obesity	肥胖	278	E66
T16868	Neural-cadherin	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T16888	Eotaxin ligand	Ocular allergy	眼部过敏	360-379	H00-H59
T16942	IFN-gamma production	Inflammatory bowel disease	炎症性肠病	"555, 556"	"K50, K51"
T17003	DNA-dependent RNA polymerase	Tuberculosis	结核	010-018	A15-A19
T17003	DNA-dependent RNA polymerase	Tuberculosis; Mycobacterium avium complex disease	结核;鸟分枝杆菌复杂疾病	"010-018, 031"	"A15-A19, A31"
T17048	DNA topoisomerase II alpha	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T17140	P2X purinoceptor 3	Overactive bladder disorder	膀胱过度活动症	"188, 596.51"	"C67, N32.81"
T17140	P2X purinoceptor 3	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T17163	Leptin receptor	Alzheimer disease	老年痴呆症	331	G30
T17163	Leptin receptor	Cachexia	恶病质	799.4	R64
T17163	Leptin receptor	Cancer	癌症	140-229	C00-C96
T17163	Leptin receptor	Diabetes	糖尿病	"253.5, 588.1"	"E23.2, N25.1"
T17163	Leptin receptor	Diabetes; Hypertriglyceridemia	糖尿病;高甘油三酯血症	"250, 272.1, 272.6"	"E08-E13, E78.1, E78.2, E78.3, E88.1"
T17163	Leptin receptor	Obesity	肥胖	278	E66
T17234	Ganciclovir kinase	Cytomegalovirus infection	巨细胞病毒感染		B25
T17248	Fusion glycoprotein	Diabetes	糖尿病	"253.5, 588.1"	"E23.2, N25.1"
T17248	Fusion glycoprotein	Respiratory syncytial virus infection	呼吸道合胞病毒感染	79.6	B97.4
T17248	Fusion glycoprotein	Type 2 diabetes	2型糖尿病	250	E11
T17345	DHFR	Bladder cancer	膀胱癌	188	C67
T17345	DHFR	Cancer	癌症	140-229	C00-C96
T17345	DHFR	Pulmonary and extrapulmonary tuberculosis	肺和肺外结核		A15-A19
T17345	DHFR	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T17345	DHFR	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T17345	DHFR	Urinary tract infections	尿路感染	599	N39.0
T17367	Sequestosome-1 p62	Mucositis	黏膜炎		K92.81
T17423	IV iron	Iron deficiency anaemia in chronic kidney disease	慢性肾脏疾病中的铁缺乏性贫血	280	"D50, N00-N29"
T17427	CD42b	Thrombosis	血栓形成	"437.6, 453, 671.5, 671.9"	I80-I82
T17448	Histamine N-methyltransferase	Malaria	疟疾		B54
T17502	Retinal pigment epithelium protein	Blindness	失明		H53.6
T17502	Retinal pigment epithelium protein	Ocular disease	眼病		H00-H59
T17502	Retinal pigment epithelium protein	Visual disturbances	视觉障碍		H53
T17569	Potassium voltage-gated channel subfamily A member 5	Angina pectoris	心绞痛	413	I20
T17569	Potassium voltage-gated channel subfamily A member 5	Arrhythmia	心律失常	427	I47-I49
T17569	Potassium voltage-gated channel subfamily A member 5	Atrial fibrillation	心房颤动	"272, 427.31"	"E78, I48"
T17569	Potassium voltage-gated channel subfamily A member 5	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T17687	Fibroblast growth factor receptor	Cancer	癌症	140-229	C00-C96
T17687	Fibroblast growth factor receptor	Late-stage solid tumors	晚期实体瘤	"140-199, 210-229"	"C00-C75, C7A, C7B, D10-D36, D3A"
T17687	Fibroblast growth factor receptor	Multiple myeloma	多发性骨髓瘤	203	C90
T17710	Zonulin	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T17758	Urokinase-type plasminogen activator	Breast cancer	乳腺癌	"174, 175"	C50
T17758	Urokinase-type plasminogen activator	Cancer	癌症	140-229	C00-C96
T17758	Urokinase-type plasminogen activator	Cerebrovascular ischaemia	脑血管缺血	434.91	I61-I63
T17758	Urokinase-type plasminogen activator	Deep venous thrombosis; Pulmonary embolism; Myocardial infarction	深静脉血栓形成；肺栓塞；心肌梗塞	"410, 415.1, 437.6, 444.9, 453, 453.40, 671.5, 671.9"	"I21, I22, I26, I74, I80-I82, I80.2, I82, O88, T79.0-T79.1"
T17758	Urokinase-type plasminogen activator	Myocardial hypertrophy	心肌肥大		I51.7
T17758	Urokinase-type plasminogen activator	Myocardial infarction	心肌梗塞	410	"I21, I22"
T17758	Urokinase-type plasminogen activator	Myocardial infarction; Thrombolysis	心肌梗塞；溶栓	"410, 415.1, 434.91, 459.9"	"I21, I22, I21-I22, I26, I61-I63, I99.9"
T17758	Urokinase-type plasminogen activator	Myocardial ischemia; Reperfusion injury	心肌缺血；再灌注损伤	459.89	I99.8
T17758	Urokinase-type plasminogen activator	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T17758	Urokinase-type plasminogen activator	Thrombin deficiency	凝血酶缺乏症	"437.6, 444.9, 453, 671.5, 671.9"	"I74, I80-I82, I82, O88, T79.0-T79.1"
T17758	Urokinase-type plasminogen activator	Thromboembolism	血栓栓塞	"437.6, 453, 671.5, 671.9"	I80-I82
T17758	Urokinase-type plasminogen activator	Unspecified	未指定		
T17852	Phosphodiesterase (PDE) 9	Alzheimer disease	老年痴呆症	331	G30
T17852	Phosphodiesterase (PDE) 9	Cognitive disorders	认知障碍	"290-294, 294.0, 780.09, 780.9, 780.93"	"F01-F07, F04, F05, R41.3"
T17852	Phosphodiesterase (PDE) 9	Genitourinary disease	泌尿生殖系统疾病		N00-N99
T17852	Phosphodiesterase (PDE) 9	Psychiatric disorder	精神病	290-319	F01-F99
T17873	Fatty acid synthesis	Dyslipidaemias	血脂异常	272	E78
T17967	Pyruvate dehydrogenase kinase isoform 2 (PDHK2)	Diabetes	糖尿病	"253.5, 588.1"	"E23.2, N25.1"
T18170	mRNA of protein kinase A1	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T18299	CaM kinase II	Anxiety disorder	焦虑症	"300, 311"	"F32, F40-F42"
T18299	CaM kinase II	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T18468	BCR/ABL protein	Acute lymphoblastic leukemia	急性淋巴细胞白血病	"204.0, 556"	C91.0
T18477	Heat shock protein HSP 90	Breast cancer; Melanoma	乳腺癌;黑色素瘤	"140-229, 172, 174, 175"	"C00-C96, C43, C50"
T18477	Heat shock protein HSP 90	Cancer	癌症	140-229	C00-C96
T18477	Heat shock protein HSP 90	Hematological malignancies	血液恶性肿瘤	200-209	C81-C86
T18477	Heat shock protein HSP 90	Melanoma	黑色素瘤	172	C43
T18477	Heat shock protein HSP 90	Multiple myeloma	多发性骨髓瘤	203	C90
T18477	Heat shock protein HSP 90	Ovarian cancer; Refractory hematological malignancies	卵巢癌;难治性血液系统恶性肿瘤	"140-229, 140-239, 183, 200-209"	"C56, C81-C86"
T18639	Heparin-binding growth factor1	Coronary artery disease	冠状动脉疾病	"410-414, 429.2"	I20-I25
T18639	Heparin-binding growth factor1	Critical limb ischemia	严重肢体缺血	459.89	I99.8
T18779	Mucin 1	Acute myeloid leukemia	急性粒细胞白血病	205	C92.0
T18779	Mucin 1	Breast cancer	乳腺癌	"174, 175"	C50
T18779	Mucin 1	Cancer	癌症	140-229	C00-C96
T18779	Mucin 1	Colorectal cancer	大肠癌	"153, 154"	C18-C21
T18779	Mucin 1	Late-stage solid tumors	晚期实体瘤	"140-199, 210-229"	"C00-C75, C7A, C7B, D10-D36, D3A"
T18779	Mucin 1	Multiple myeloma	多发性骨髓瘤	203	C90
T18779	Mucin 1	Non-small cell lung cancer	非小细胞肺癌		C33-C34
T18779	Mucin 1	Pancreatic cancer	胰腺癌	"140-199, 140-229, 157, 210-229"	C25
T18779	Mucin 1	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T18779	Mucin 1	Unspecified	未指定		
T18872	Malignant melanoma metastasis-suppressor KiSS-1	Prostate cancer	前列腺癌	185	C61
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Acute heart failure	急性心力衰竭	428	I50
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Asthma	哮喘		J45
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Fracture	断裂		M48.5
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Glaucoma	青光眼	365	H40-H42
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Inflammatory disease	炎性疾病	"140-229, 147, 173, 573.3, 710-719"	"C11, C44, K75.9, M00-M25"
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Migraine	偏头痛	346	G43
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Osteoarthritis	骨关节炎	715	"M15-M19, M47"
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Osteoarthritis; Pain	骨关节炎;疼痛	"338, 715,780"	"M15-M19, M47, R52, G89"
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T18876	"Prostaglandin E2 receptor, EP4 subtype"	Ulcerative colitis	溃疡性结肠炎	556	K51
T18950	Leutinizing-hormone-releasing hormone	Breast cancer; Prostate cancer	乳腺癌;前列腺癌	"174, 175, 185"	"C50, C61"
T18950	Leutinizing-hormone-releasing hormone	Prostate cancer	前列腺癌	185	C61
T18972	CD3	Gastrointestinal adenocarcinoma	胃肠道腺癌		C15-C26
T19011	M-phase inducer phosphatase 3	Cancer	癌症	140-229	C00-C96
T19160	"Phospholipase A2, membrane associated"	Breast cancer	乳腺癌	"174, 175"	C50
T19244	Cytochrome P450 2C9	Bacterial infections	细菌感染	"001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104"	A00-B99
T19250	Inhibiting vascular cell adhesion molecule expression	Atherosclerosis	动脉粥样硬化	"414.0, 440"	I70
T19334	Interleukin-21 receptor	Crohn's disease	克罗恩病	555	K50
T19334	Interleukin-21 receptor	Inflammatory disease	炎性疾病	"140-229, 147, 173, 573.3, 710-719"	"C11, C44, K75.9, M00-M25"
T19368	"lipase, endothelial"	Coagulation	凝结		I80-I82
T19414	Fibrin	Bleeding	流血的	"444, 453"	"I74, I80-I82"
T19414	Fibrin	Blood forming organ disorders	血液形成器官疾病		D75.9
T19414	Fibrin	Cardiovascular disorder	心血管疾病		I00-I99
T19414	Fibrin	Dengue fever	登革热	61	A90
T19414	Fibrin	Injury	受伤		S00-T88
T19414	Fibrin	Occlusion	咬合		I66.9
T19414	Fibrin	Ulcer	溃疡	531-534	K25-K27
T19414	Fibrin	Wound healing	伤口愈合		T14.0-T14.1
T19433	Glutathione S-transferase	Allergy	过敏	995.3	T78.4
T19433	Glutathione S-transferase	Alzheimer disease	老年痴呆症	331	G30
T19433	Glutathione S-transferase	Flatworms infection	扁虫感染	120-129	B65-B83
T19556	Oncostatin M	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T19579	Interleukin-2 receptor subunit beta	Head and neck cancer; Human immunodeficiency virus infection	头颈癌；人类免疫缺陷病毒感染	"140-149, 140-229, 279.3"	"C07-C14, C32-C33, B20-B26"
T19579	Interleukin-2 receptor subunit beta	Unspecified	未指定		
T19615	Granulocyte colony-stimulating factor	Aplastic anemia	再生障碍性贫血	284	D60-D61
T19615	Granulocyte colony-stimulating factor	Neutropenia	中性粒细胞减少	288	D70
T19615	Granulocyte colony-stimulating factor	Neutropenia; Breast cancer	中性粒细胞减少症乳腺癌	"174, 175"	C50
T19625	mRNA of influenza virus neuraminidase	Influenza virus	流感病毒		J11.1
T19693	Soluble guanylyl cyclase 	Angina pectoris	心绞痛	413	I20
T19693	Soluble guanylyl cyclase 	Heart failure	心脏衰竭	428	I50
T19693	Soluble guanylyl cyclase 	Pulmonary arterial hypertension	肺动脉高压	416	"I27.0, I27.2"
T19760	Mitogen-activated protein kinase kinase kinase 9	Asthma	哮喘		J45
T19784	Somatotropin	Growth hormone deficiency	生长激素缺乏症	"253.0, 253.3"	"E22.0, E23.0"
T19829	AE-H	Human immunodeficiency virus infection	人类免疫缺陷病毒感染	279.3	B20-B26
T19852	Keratinocyte growth factor	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T20059	TGF beta receptor	Idiopathic pulmonary fibrosis	特发性肺纤维化	516.3	J84.1
T20103	Vacuolar-type (H+)-ATPase	Osteoporosis	骨质疏松症	"733.0, V07.4"	"M80-M81, Z79.890"
T20178	Tumor necrosis factor	Allergic rhinitis	过敏性鼻炎	"472.0, 477, 995.3"	"J00, J30, J31.0, T78.4"
T20178	Tumor necrosis factor	Asthma	哮喘		J45
T20178	Tumor necrosis factor	Atopic dermatitis; Psoriatic disorder	特应性皮炎;银屑病	"691.8, 692.9, 696"	"L00-L99, L40"
T20178	Tumor necrosis factor	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T20178	Tumor necrosis factor	Colitis	结肠炎	556.9	K50-K52
T20178	Tumor necrosis factor	Crohn's disease	克罗恩病	555	K50
T20178	Tumor necrosis factor	Crohn's disease; Ulcerative colitis; Rheumatoid arthritis; Ankylosing spondylitis; Psoriatic arthritis; Plaque psoriasis	克罗恩病;溃疡性结肠炎；类风湿关节炎;强直性脊柱炎;银屑病关节炎；斑块状牛皮癣		"K50.0, K51.90, M05.9, M45.3, L40.52, L40"
T20178	Tumor necrosis factor	Diarrhea	腹泻	787.91	"A09, K59.1"
T20178	Tumor necrosis factor	Esophageal cancer	食道癌	150	C15
T20178	Tumor necrosis factor	Heart transplant rejection	心脏移植排斥反应	996	T86
T20178	Tumor necrosis factor	Inflammatory bowel disease	炎症性肠病	"555, 556"	"K50, K51"
T20178	Tumor necrosis factor	Intermittent claudication	间歇性lau行	440.21	I73.9
T20178	Tumor necrosis factor	Multiple myeloma	多发性骨髓瘤	203	C90
T20178	Tumor necrosis factor	Multiple myeloma; Anaemia	多发性骨髓瘤；贫血	"203, 280-285, 585.9585.1-585.5403"	"C90, D50-D64, N18"
T20178	Tumor necrosis factor	Neuropathic pain	神经性疼痛	"356.0, 356.8"	"G64, G90.0"
T20178	Tumor necrosis factor	Ocular disease	眼病		H00-H59
T20178	Tumor necrosis factor	Osteoarthritis	骨关节炎	715	"M15-M19, M47"
T20178	Tumor necrosis factor	Pneumonia	肺炎		J12-J18
T20178	Tumor necrosis factor	Psoriasis	银屑病	696	L40
T20178	Tumor necrosis factor	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T20178	Tumor necrosis factor	Rheumatoid arthritis; Dermatomyositis; Polymyositis; Juvenile rheumatoid arthritis; Graft-versus-host disease; Esophagitis	类风湿关节炎;皮肌炎;多发性肌炎;青少年类风湿关节炎；移植物抗宿主病；食管炎		"K20, L40, M05-M06, M08.0, T86.0"
T20178	Tumor necrosis factor	Rheumatoid arthritis; Psoriasis	类风湿关节炎;银屑病	"696, 710-719, 714"	"L40, M00-M25, M05-M06"
T20178	Tumor necrosis factor	Rheumatold arthritis; Psoriatic arthritis; Ankylosing spondylitis	类风湿关节炎；银屑病关节炎；强直性脊柱炎	"696.0, 710-719, 714, 720.0"	"L40.5, M00-M25, M05-M06, M07, M08.1, M45"
T20178	Tumor necrosis factor	Sepsis	败血症	995.91	"A40, A41"
T20178	Tumor necrosis factor	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T20178	Tumor necrosis factor	Unspecified	未指定		
T20210	Feto-acinar pancreatic protein (FAPP)	Pancreatic cancer	胰腺癌	"140-199, 140-229, 157, 210-229"	C25
T20251	Potassium voltage-gated channel subfamily H member 2	Angina pectoris	心绞痛	413	I20
T20251	Potassium voltage-gated channel subfamily H member 2	Cardiac arrhythmias	心律失常	427	I47-I49
T20251	Potassium voltage-gated channel subfamily H member 2	Cardiac failure	心脏衰竭		I50
T20251	Potassium voltage-gated channel subfamily H member 2	Heart arrhythmia	心律不齐		I47-I49
T20251	Potassium voltage-gated channel subfamily H member 2	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T20278	Major histocompatibility complex	Viral infections	病毒感染	"054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053"	"B01, B02, A60, B00, B27, G05.1, P35.2"
T20297	Serine protease	Acute coronary syndrome	急性冠状动脉综合征	444	I74
T20297	Serine protease	Bleeding	流血的	"444, 453"	"I74, I80-I82"
T20297	Serine protease	Cancer	癌症	140-229	C00-C96
T20297	Serine protease	Community-acquired pneumonia; Acute lung injury	社区获得性肺炎；急性肺损伤	"480-486, 518, 770.0"	"J12-J18, J80, P23"
T20297	Serine protease	Cystic fibrosis	囊性纤维化	277	E84
T20297	Serine protease	Graft rejection in heart transplantation	心脏移植中的移植排斥	996	T86
T20297	Serine protease	Pancreatitis	胰腺炎	577.0-577.1	"K85, K86.0K86.1"
T20297	Serine protease	Restenosis	再狭窄		I51.89
T20297	Serine protease	Thrombosis	血栓形成	"437.6, 453, 671.5, 671.9"	I80-I82
T20331	Neuropeptide Y receptor 5	Eating disorder; Obesity	饮食失调；肥胖	"278, 307.5"	"E66, F50"
T20331	Neuropeptide Y receptor 5	Eating disorder; Obesity; Diabetes	饮食失调；肥胖;糖尿病	"250, 278, 307.5"	"E08-E13, E66, F50"
T20331	Neuropeptide Y receptor 5	Major depressive disorder	严重抑郁症	"296.2, 296.3, 710.0"	"F32, F33, M32"
T20331	Neuropeptide Y receptor 5	Obesity	肥胖	278	E66
T20401	Carbonic anhydrase II	Duodenal ulcers	十二指肠溃疡		K25-K27
T20401	Carbonic anhydrase II	Edema associated with congestive heart failure	与充血性心力衰竭相关的水肿	"428.0, 782.3"	"I50, R60.9"
T20401	Carbonic anhydrase II	High blood pressure; Edema	高血压;浮肿	401	"I10-I16, R60.9"
T20401	Carbonic anhydrase II	Insomnia	失眠	"307.41, 307.42, 327.0, 780.51, 780.52"	"F51.0, G47.0"
T20401	Carbonic anhydrase II	Open-angle glaucoma	开角型青光眼	365	H40-H42
T20426	Profibrinolytic	Diabetic nephropathy	糖尿病肾病	250.4	E11.21
T20426	Profibrinolytic	Hepatic veno-occlusive disease	肝静脉闭塞性疾病		K00-K95
T20514	Delta-aminolevulinic acid dehydratase	Photodynamic therapy	光动力疗法	706.1	L70.0
T20575	C-C chemokine receptor type 8	Psoriasis	银屑病	696	L40
